date,open,high,low,close,adj_close,volume
2015-01-02,27.8475,27.8600,26.8375,27.3325,24.1926,212818400
2015-01-05,27.0725,27.1625,26.3525,26.5625,23.5111,257142000
2015-01-06,26.6350,26.8575,26.1575,26.5650,23.5133,263188400
2015-01-07,26.8000,27.0500,26.6750,26.9375,23.8430,160423600
2015-01-08,27.3075,28.0375,27.1750,27.9725,24.7591,237458000
2015-01-09,28.1675,28.3125,27.5525,28.0025,24.7856,214798000
2015-01-12,28.1500,28.1575,27.2000,27.3125,24.1749,198603200
2015-01-13,27.8575,28.2000,27.2275,27.5550,24.3895,268367600
2015-01-14,27.2600,27.6225,27.1250,27.4500,24.2966,195826400
2015-01-15,27.5000,27.5150,26.6650,26.7050,23.6372,240056000
2015-01-16,26.7575,26.8950,26.3000,26.4975,23.4535,314053200
2015-01-20,26.9600,27.2425,26.6250,27.1800,24.0576,199599600
2015-01-21,27.2375,27.7650,27.0675,27.3875,24.2413,194303600
2015-01-22,27.5650,28.1175,27.4300,28.1000,24.8719,215185600
2015-01-23,28.0750,28.4375,27.8825,28.2450,25.0003,185859200
2015-01-26,28.4350,28.5900,28.2000,28.2750,25.0268,222460000
2015-01-27,28.1050,28.1200,27.2575,27.2850,24.1506,382274800
2015-01-28,29.4075,29.5300,28.8275,28.8275,25.5159,585908400
2015-01-29,29.0800,29.7975,28.8900,29.7250,26.3103,337745600
2015-01-30,29.6000,30.0000,29.2125,29.2900,25.9252,334982000
2015-02-02,29.5125,29.7925,29.0200,29.6575,26.2505,250956400
2015-02-03,29.6250,29.7725,29.4025,29.6625,26.2549,207662800
2015-02-04,29.6250,30.1275,29.5775,29.8900,26.4563,280598800
2015-02-05,30.0050,30.0575,29.8125,29.9850,26.6451,168984800
2015-02-06,30.0050,30.0625,29.6125,29.7325,26.4208,174826400
2015-02-09,29.6375,29.9600,29.6075,29.9300,26.5963,155559200
2015-02-10,30.0425,30.5375,30.0400,30.5050,27.1072,248034000
2015-02-11,30.6925,31.2300,30.6250,31.2200,27.7426,294247200
2015-02-12,31.5150,31.8700,31.3925,31.6150,28.0936,297898000
2015-02-13,31.8200,31.8200,31.4125,31.7700,28.2313,217088800
2015-02-17,31.8725,32.2200,31.7300,31.9575,28.3979,252609600
2015-02-18,31.9075,32.1950,31.8625,32.1800,28.5956,179566800
2015-02-19,32.1200,32.2575,32.0825,32.1125,28.5357,149449600
2015-02-20,32.1550,32.3750,32.0125,32.3750,28.7689,195793600
2015-02-23,32.5050,33.2500,32.4150,33.2500,29.5465,283896400
2015-02-24,33.2350,33.4000,32.7925,33.0425,29.3621,276912400
2015-02-25,32.8900,32.9000,32.0375,32.1975,28.6112,298846800
2015-02-26,32.1975,32.7175,31.6525,32.6050,28.9733,365150000
2015-02-27,32.5000,32.6425,32.0600,32.1150,28.5379,248059200
2015-03-02,32.3125,32.5700,32.0750,32.2725,28.6778,192386800
