date,open,high,low,close,adj_close,volume
2015-01-02,112.4900,114.8000,112.3200,114.0800,114.0800,7109600
2015-01-05,114.7800,116.0000,114.7300,115.8000,115.8000,8177400
2015-01-06,116.2200,117.5000,115.8000,117.1200,117.1200,11238300
2015-01-07,116.4700,116.8800,116.1700,116.4300,116.4300,6434200
2015-01-08,116.4500,116.8700,115.8500,115.9400,115.9400,7033700
2015-01-09,116.5100,117.3400,116.5000,117.2600,117.2600,7962900
2015-01-12,117.4600,118.7100,117.3200,118.5600,118.5600,8318200
2015-01-13,118.9600,119.1900,117.8700,118.1600,118.1600,7693200
2015-01-14,119.0800,119.3200,117.9000,117.9700,117.9700,7727400
2015-01-15,120.4100,121.7000,120.3400,120.9400,120.9400,17692500
2015-01-16,121.7300,123.1500,121.7100,122.5200,122.5200,14428200
2015-01-20,123.6300,124.6000,123.4900,124.2000,124.2000,14968600
2015-01-21,125.1800,125.3400,123.3700,124.2300,124.2300,11082700
2015-01-22,125.0700,125.5800,124.1500,125.2300,125.2300,10518400
2015-01-23,124.4300,124.5000,123.3500,124.2300,124.2300,6270900
2015-01-26,123.3300,123.3400,122.5200,122.9900,122.9900,6768600
2015-01-27,123.5600,124.6400,123.5100,124.4000,124.4000,9584800
2015-01-28,123.5200,123.8900,122.9400,123.4200,123.4200,8470600
2015-01-29,121.9900,122.2900,120.2600,120.7600,120.7600,11998000
2015-01-30,121.3000,123.5500,120.9200,123.4500,123.4500,14555900
2015-02-02,121.8400,123.1600,121.8200,122.4200,122.4200,8885200
2015-02-03,121.7400,121.7600,120.5600,121.0500,121.0500,8255900
2015-02-04,121.6300,122.2200,120.9200,121.5800,121.5800,5386700
2015-02-05,120.9800,121.8300,120.6100,121.7900,121.7900,6879900
2015-02-06,119.1500,119.5200,117.9500,118.6400,118.6400,13206900
2015-02-09,118.8300,119.4000,118.7700,119.1700,119.1700,5237200
2015-02-10,118.6300,119.0600,118.2100,118.4700,118.4700,4086300
2015-02-11,118.4900,118.5700,117.0000,117.0700,117.0700,6784400
2015-02-12,117.6800,117.8200,117.0900,117.3400,117.3400,4344400
2015-02-13,118.0500,118.5800,117.7900,117.9800,117.9800,4108900
2015-02-17,116.4000,116.5400,115.5800,116.0100,116.0100,7225200
2015-02-18,115.9900,116.5300,114.9900,116.3400,116.3400,8336000
2015-02-19,116.4000,116.5400,115.7400,115.9400,115.9400,6528700
2015-02-20,116.1000,116.4600,115.0500,115.2800,115.2800,6681700
2015-02-23,115.1100,116.2200,115.0700,115.4300,115.4300,4812400
2015-02-24,115.0000,115.5500,114.2900,115.2600,115.2600,7612900
2015-02-25,115.8300,115.8900,115.3300,115.7000,115.7000,5032500
2015-02-26,116.5400,116.5500,115.8300,116.0700,116.0700,4025400
2015-02-27,116.7400,117.0700,116.1600,116.1600,116.1600,8255600
2015-03-02,116.5000,116.6400,115.6200,115.6800,115.6800,7993300
2015-03-03,116.0400,116.6100,115.3500,115.4700,115.4700,4738300
2015-03-04,115.7000,115.7900,115.0200,115.1100,115.1100,4762400
2015-03-05,115.4300,116.1200,114.8400,115.0000,115.0000,5872200
2015-03-06,113.1700,113.2600,111.7000,111.8600,111.8600,11190800
2015-03-09,112.4200,112.6200,111.9500,111.9700,111.9700,5534000
2015-03-10,112.0900,112.3500,111.2200,111.4200,111.4200,7019800
2015-03-11,111.2300,111.2500,110.1600,110.7500,110.7500,6550400
2015-03-12,111.1500,111.2000,110.2500,110.7200,110.7200,6631500
2015-03-13,111.1000,111.2800,110.5100,110.8800,110.8800,4557600
2015-03-16,111.0900,111.2100,110.4200,110.8100,110.8100,3265300
2015-03-17,109.9200,111.3500,109.7700,110.2100,110.2100,8923300
2015-03-18,110.3300,112.8700,110.0900,112.3700,112.3700,12448000
2015-03-19,111.8500,112.5800,111.5800,112.2900,112.2900,6537700
2015-03-20,112.7100,114.0000,112.6700,113.5700,113.5700,8033400
2015-03-23,113.7000,114.3700,113.4900,114.2900,114.2900,4240300
2015-03-24,114.3500,114.6500,113.8200,114.5700,114.5700,2979300
2015-03-25,115.1100,115.1400,114.6500,114.7300,114.7300,3021400
2015-03-26,115.7300,115.8400,115.3400,115.4800,115.4800,5495200
2015-03-27,115.1400,115.3600,114.4500,115.0600,115.0600,4921700
2015-03-30,113.9000,114.0100,113.5400,113.7500,113.7500,4383900
2015-03-31,113.8400,114.2800,113.4100,113.6600,113.6600,4383300
2015-04-01,114.5600,115.9900,114.5400,115.6000,115.6000,7324000
2015-04-02,115.4700,115.7200,114.6800,115.2800,115.2800,3884100
2015-04-06,117.3200,117.4700,116.5200,116.6900,116.6900,5914200
2015-04-07,116.2700,116.5100,115.9400,116.1100,116.1100,2468500
2015-04-08,115.9800,116.0300,114.9000,115.4700,115.4700,5568500
2015-04-09,114.8000,114.8500,114.4800,114.6700,114.6700,4707000
2015-04-10,116.0000,116.1900,115.5000,115.9700,115.9700,3932400
2015-04-13,115.3500,115.3900,114.8000,115.1400,115.1400,3190100
2015-04-14,114.6900,115.0700,114.3900,114.4400,114.4400,3651500
2015-04-15,114.8000,115.6000,114.4700,115.4300,115.4300,3656000
2015-04-16,115.5500,115.6600,114.6400,115.0300,115.0300,3132300
2015-04-17,115.3800,115.7900,115.2300,115.6000,115.6000,3496300
2015-04-20,114.8200,114.9500,114.3200,114.7200,114.7200,3932800
2015-04-21,114.7200,115.5600,114.6500,115.3800,115.3800,3317700
2015-04-22,114.8300,114.9600,113.7700,113.8300,113.8300,5696000
2015-04-23,113.9000,114.9600,113.8100,114.6600,114.6600,3459500
2015-04-24,113.9600,114.0700,112.7700,113.0500,113.0500,7152900
2015-04-27,113.8700,115.8200,113.6700,115.3300,115.3300,7487600
2015-04-28,115.3600,116.6200,115.3400,116.3300,116.3300,8054400
2015-04-29,116.0600,116.3900,115.2800,115.5100,115.5100,7170500
2015-04-30,113.8800,113.8800,112.9600,113.4700,113.4700,9440300
2015-05-01,112.4200,113.3100,112.2800,113.0800,113.0800,7597000
2015-05-04,114.1800,114.4400,113.8800,114.1000,114.1000,3648100
2015-05-05,114.8900,115.1100,114.3900,114.4200,114.4200,3856500
2015-05-06,114.5900,114.7500,114.0200,114.3600,114.3600,3280700
2015-05-07,113.8400,114.0100,113.3200,113.4200,113.4200,5455100
2015-05-08,114.3400,114.4300,113.5900,113.9700,113.9700,9964100
2015-05-11,114.0900,114.3100,113.0800,113.5300,113.5300,2916700
2015-05-12,114.1000,114.6700,114.0600,114.5000,114.5000,3256700
2015-05-13,115.7400,116.9300,115.6800,116.5500,116.5500,11768200
2015-05-14,117.2800,117.7500,117.0300,117.1800,117.1800,6923000
2015-05-15,116.8000,117.6300,116.6800,117.5300,117.5300,4447300
2015-05-18,117.7800,117.8800,117.2700,117.5200,117.5200,5079900
2015-05-19,116.5500,116.7300,115.6500,115.8900,115.8900,5052100
2015-05-20,116.0300,116.3800,115.7600,116.0800,116.0800,4432600
2015-05-21,115.5300,116.0000,115.4700,115.6900,115.6900,2514700
2015-05-22,115.5100,115.9300,115.3200,115.6000,115.6000,1780200
2015-05-26,113.8400,114.2300,113.7000,113.9100,113.9100,5769600
2015-05-27,113.7800,114.0100,113.6300,113.8900,113.8900,2681100
2015-05-28,113.8500,114.1600,113.2100,114.0200,114.0200,5266000
2015-05-29,114.1400,114.4800,114.0000,114.1000,114.1000,3407500
2015-06-01,115.0200,115.5000,113.9000,114.0000,114.0000,8254000
2015-06-02,114.3600,114.6500,114.1700,114.4600,114.4600,3988600
2015-06-03,114.1300,114.3700,113.0800,113.6400,113.6400,4885200
2015-06-04,112.9800,113.1500,112.4800,112.8400,112.8400,5566600
2015-06-05,111.6000,112.3900,111.5700,112.2400,112.2400,5561300
2015-06-08,112.3900,112.6600,112.1300,112.5700,112.5700,3122100
2015-06-09,113.1500,113.2300,112.7100,112.8200,112.8200,3529900
2015-06-10,114.1400,114.1400,113.6900,113.7800,113.7800,5452900
2015-06-11,113.2700,113.4100,112.9200,113.2600,113.2600,4434700
2015-06-12,113.0600,113.5000,112.9600,113.2300,113.2300,2998500
2015-06-15,113.2800,114.1500,113.2100,113.7300,113.7300,5055100
2015-06-16,113.0800,113.4500,112.7900,113.3200,113.3200,4033300
2015-06-17,113.0700,114.0400,112.6300,113.8500,113.8500,6456000
2015-06-18,115.1900,115.6100,114.8900,115.3200,115.3200,8041300
2015-06-19,115.3400,115.4600,114.9500,115.1200,115.1200,4611600
2015-06-22,113.7900,113.9400,113.3400,113.6400,113.6400,5763700
2015-06-23,112.9600,113.1700,112.7900,112.8900,112.8900,4522800
2015-06-24,112.4800,112.7400,112.3100,112.5900,112.5900,2975500
2015-06-25,112.4300,112.7100,112.3200,112.4400,112.4400,2904700
2015-06-26,112.2000,112.6800,112.1300,112.5600,112.5600,4392600
2015-06-29,112.8100,113.2300,112.5300,113.0700,113.0700,5820200
2015-06-30,112.2400,113.0500,111.8400,112.3700,112.3700,7897000
2015-07-01,112.1200,112.5100,111.9400,111.9800,111.9800,4409000
