date,open,high,low,close,adj_close,volume
2015-01-02,103.7600,104.2000,102.4400,102.9400,94.6650,31314600
2015-01-05,102.4900,102.6100,101.1400,101.4300,93.2765,36521300
2015-01-06,101.5800,101.7500,99.6200,100.0700,92.0258,66205500
2015-01-07,100.7300,101.6000,100.4900,101.3600,93.2121,37577400
2015-01-08,102.2200,103.5000,102.1100,103.3000,94.9961,40212600
2015-01-09,103.6200,103.6500,102.0200,102.6200,94.3708,41410100
2015-01-12,102.8200,102.9300,101.2900,101.5500,93.3868,34129800
2015-01-13,102.5400,103.6200,100.7000,101.5200,93.3592,56162300
2015-01-14,100.5000,101.4800,100.0700,100.9600,92.8442,51354200
2015-01-15,101.4300,101.5900,99.5300,99.6500,91.6395,51005400
2015-01-16,99.5200,100.9500,99.3600,100.8200,92.7155,35362200
2015-01-20,101.4300,101.8800,100.2900,101.6200,93.4512,30964100
2015-01-21,101.3200,102.6200,100.9600,102.1400,93.9294,40128800
2015-01-22,102.5400,104.1400,101.6400,104.0300,95.6674,40887200
2015-01-23,104.0200,104.5800,103.7200,104.2600,95.8790,34783000
2015-01-26,104.1400,104.3300,103.6100,104.1400,95.7686,19960900
2015-01-27,102.5000,102.5600,101.1000,101.4400,93.2857,45253200
2015-01-28,103.0700,103.1800,100.9000,100.9200,92.8074,43591700
2015-01-29,100.8400,102.0800,99.9600,101.8900,93.6995,46539700
2015-01-30,101.8000,102.5800,100.9600,101.1000,92.9730,42927600
2015-02-02,101.3300,102.0700,99.7500,101.9800,93.7822,43624700
2015-02-03,102.3500,103.0300,101.6800,102.9600,94.6834,30750400
2015-02-04,102.5400,103.5500,102.3100,102.8700,94.6007,34073200
2015-02-05,103.1300,103.8300,102.8700,103.7600,95.4192,23605500
2015-02-06,103.9200,104.1700,102.7600,103.1300,94.8398,34169300
2015-02-09,102.7300,103.2900,102.5500,102.8000,94.5363,22604700
2015-02-10,103.3700,104.5400,103.2100,104.4000,96.0077,23686500
2015-02-11,104.5200,105.0200,104.3200,104.7800,96.3572,20303600
2015-02-12,105.4600,106.0400,105.3000,106.0000,97.4791,22520300
2015-02-13,106.3000,106.9300,106.1000,106.9100,98.3159,29030200
2015-02-17,106.9100,107.0800,106.6400,107.0100,98.4079,17675300
2015-02-18,106.8800,107.2200,106.7400,107.1600,98.5458,15149600
2015-02-19,107.0900,107.7600,107.0600,107.6900,99.0332,19828100
2015-02-20,107.6200,108.4700,107.2800,108.4100,99.6953,28336700
2015-02-23,108.3500,108.5500,108.1100,108.5200,99.7965,17868000
2015-02-24,108.3800,108.7300,108.0500,108.6000,99.8701,19745000
2015-02-25,108.4400,108.8600,108.0900,108.3300,99.6218,19472300
2015-02-26,108.4400,108.9400,108.1400,108.8800,100.1276,22255500
2015-02-27,108.8400,108.9100,108.2300,108.4000,99.6862,27757600
2015-03-02,108.6100,109.4200,108.5900,109.3800,100.5874,22988600
2015-03-03,109.0500,109.1600,108.1800,108.8700,100.1184,20788900
2015-03-04,108.5100,108.6700,107.8600,108.4500,99.7321,21007400
2015-03-05,108.7300,108.9700,108.1900,108.6400,99.9069,15381000
2015-03-06,108.5000,108.7100,107.1400,107.4100,98.7757,30990400
2015-03-09,107.6300,107.9900,107.1900,107.7200,99.0608,26237100
2015-03-10,106.9500,106.9800,105.7200,105.7200,97.2216,34234500
2015-03-11,105.8800,106.0100,105.0700,105.1100,96.6606,25459700
2015-03-12,105.0300,105.9200,104.9600,105.8000,97.2952,21473200
2015-03-13,105.7000,106.1200,104.6800,105.3400,96.8722,42021100
2015-03-16,105.7300,106.7400,105.6200,106.7000,98.1228,25674100
2015-03-17,106.4100,107.0400,106.1600,106.8700,98.2791,19603800
2015-03-18,106.5800,108.4100,106.0300,107.9200,99.2447,40622200
2015-03-19,108.0300,108.3800,107.8700,108.0800,99.3919,31314000
2015-03-20,108.7200,109.0700,108.5100,108.5300,100.0352,31761400
2015-03-23,108.4700,108.7700,108.2800,108.3200,99.8417,17268500
2015-03-24,108.3100,108.8100,107.9100,107.9300,99.4822,22445300
2015-03-25,108.1000,108.2000,105.4200,105.4600,97.2056,41581400
2015-03-26,104.5900,105.7000,104.2400,105.1000,96.8737,47846300
2015-03-27,105.0800,105.7700,104.9200,105.5200,97.2608,33878400
2015-03-30,106.1600,106.8200,106.1600,106.7300,98.3761,30570200
2015-03-31,106.4300,106.6500,105.5700,105.6000,97.3346,30488100
2015-04-01,105.6000,105.6200,104.3700,105.0500,96.8276,32970500
2015-04-02,105.1500,105.4600,104.7800,105.1200,96.8922,19164200
2015-04-06,104.5000,106.2700,104.3400,105.9800,97.6848,24451100
2015-04-07,105.9200,106.7000,105.8000,105.8000,97.5189,19379400
2015-04-08,105.8400,106.7900,105.8300,106.6400,98.2932,25866900
2015-04-09,106.5900,107.3500,106.2300,107.3100,98.9107,23114700
2015-04-10,107.2700,107.7600,107.0300,107.7500,99.3163,17164300
2015-04-13,107.8300,108.3800,107.3600,107.4800,99.0674,17783500
2015-04-14,107.3700,107.6800,106.5600,107.1700,98.7817,23755700
2015-04-15,107.4500,108.0700,107.3200,107.8400,99.3993,21128600
2015-04-16,107.5500,107.8800,107.4000,107.6900,99.2610,16195300
2015-04-17,106.6600,106.9500,105.5500,106.0100,97.7125,46514000
2015-04-20,106.5400,107.7900,106.5000,107.6000,99.1780,28945900
2015-04-21,108.2200,108.4100,107.9300,108.0600,99.6020,22759800
2015-04-22,108.3400,108.8300,107.6400,108.6500,100.1459,21429200
2015-04-23,108.2800,109.5500,108.2600,109.0600,100.5238,29473200
2015-04-24,110.2100,110.6900,110.0300,110.5400,101.8879,32508100
2015-04-27,110.9500,111.1600,110.0200,110.2600,101.6299,31121300
2015-04-28,110.3400,110.5500,109.1100,110.0400,101.4270,36849200
2015-04-29,109.4300,110.0700,108.7500,109.3500,100.7911,34043900
2015-04-30,108.7300,109.1700,107.0600,107.6300,99.2057,44080500
2015-05-01,108.0500,109.1200,108.0300,109.0500,100.5146,32874300
2015-05-04,109.4000,109.9100,109.1700,109.2300,100.6805,23507300
2015-05-05,108.8000,109.0000,107.4000,107.4500,99.0398,47843300
2015-05-06,107.6400,107.9500,106.0000,106.7100,98.3577,42687200
2015-05-07,106.6800,107.6500,106.6000,107.3500,98.9476,29335800
2015-05-08,108.4600,108.9200,108.3000,108.6900,100.1827,33023300
2015-05-11,108.7600,108.9800,108.1900,108.2700,99.7956,19679300
2015-05-12,107.6300,108.3300,106.8000,107.7800,99.3439,33665000
2015-05-13,108.2500,108.8100,107.8400,108.0000,99.5467,20738400
2015-05-14,108.8800,109.6700,108.4800,109.5800,101.0031,23904200
2015-05-15,109.8600,110.0100,109.3100,109.5800,101.0031,23937400
2015-05-18,109.4000,110.2800,109.3200,110.0600,101.4455,17631100
2015-05-19,110.1800,110.3500,109.7600,109.9400,101.3349,14212900
2015-05-20,110.0200,110.6700,109.4300,110.0100,101.3994,21131900
