date,open,high,low,close,adj_close,volume
2015-01-02,206.3800,206.8800,204.1800,205.4300,170.1250,121465900
2015-01-05,204.1700,204.3700,201.3500,201.7200,167.0526,169632600
2015-01-06,202.0900,202.7200,198.8600,199.8200,165.4791,209151400
2015-01-07,201.4200,202.7200,200.8800,202.3100,167.5412,125346700
2015-01-08,204.0100,206.1600,203.9900,205.9000,170.5142,147217800
2015-01-09,206.4000,206.4200,203.5100,204.2500,169.1478,158567300
2015-01-12,204.4100,204.6000,201.9200,202.6500,167.8228,144396100
2015-01-13,204.1200,205.4800,200.5100,202.0800,167.3508,214553300
2015-01-14,199.6500,201.1000,198.5700,200.8600,166.3404,192991100
2015-01-15,201.6300,202.0100,198.8800,199.0200,164.8167,176613900
2015-01-16,198.7700,201.8200,198.5500,201.6300,166.9781,211879600
2015-01-20,202.4000,202.7200,200.1700,202.0600,167.3342,130991100
2015-01-21,201.5000,203.6600,200.9400,203.0800,168.1789,122942700
2015-01-22,203.9900,206.2600,202.3300,206.1000,170.6799,174356000
2015-01-23,205.7900,206.1000,204.8100,204.9700,169.7441,117516800
2015-01-26,204.7100,205.5600,203.8500,205.4500,170.1415,92009700
2015-01-27,202.9700,204.1200,201.7400,202.7400,167.8973,134044600
2015-01-28,204.1700,204.2900,199.9100,200.1400,165.7441,168514300
2015-01-29,200.3800,202.3000,198.6800,201.9900,167.2762,173585400
2015-01-30,200.5700,202.1700,199.1300,199.4500,165.1727,197729700
2015-02-02,200.0500,202.0300,197.8600,201.9200,167.2182,163107000
2015-02-03,203.0000,204.8500,202.5500,204.8400,169.6364,124212900
2015-02-04,203.9200,205.3800,203.5100,204.0600,168.9904,134306700
2015-02-05,204.8600,206.3000,204.7700,206.1200,170.6965,97953200
2015-02-06,206.5600,207.2400,204.9200,205.5500,170.2243,125672000
2015-02-09,204.7700,205.6400,204.1400,204.6300,169.4625,87219000
2015-02-10,205.8800,207.1200,204.6800,206.8100,171.2679,96164200
2015-02-11,206.6100,207.4500,205.8300,206.9300,171.3672,91087800
2015-02-12,207.8900,208.9900,206.9700,208.9200,173.0152,97545900
2015-02-13,209.0700,209.8400,208.7600,209.7800,173.7274,93670400
2015-02-17,209.4000,210.3200,209.1000,210.1100,174.0007,76968200
2015-02-18,209.6600,210.2200,209.3400,210.1300,174.0173,80652900
2015-02-19,209.4100,210.4200,209.2400,209.9800,173.8931,91462500
2015-02-20,209.4800,211.3300,208.7300,211.2400,174.9365,140896400
2015-02-23,210.9400,211.2100,210.4800,211.2100,174.9117,74411100
2015-02-24,211.1200,212.0500,210.7600,211.8100,175.4086,72472300
2015-02-25,211.6600,212.2400,211.2200,211.6300,175.2594,73061700
2015-02-26,211.5200,211.7100,210.6500,211.3800,175.0525,72697900
2015-02-27,211.2600,211.5800,210.6000,210.6600,174.4562,108076000
2015-03-02,210.7800,212.0600,210.7200,211.9900,175.5576,87491400
2015-03-03,211.4700,212.0500,210.0800,211.1200,174.8372,110325800
2015-03-04,210.4000,210.4900,209.0600,210.2300,174.1001,114497200
2015-03-05,210.6200,210.8000,209.8500,210.4600,174.2906,76873000
2015-03-06,209.4200,209.9400,207.1000,207.5000,171.8392,188128000
2015-03-09,207.7400,208.7900,207.5500,208.3600,172.5515,89818900
2015-03-10,206.7100,206.8100,204.9300,204.9800,169.7523,157121300
2015-03-11,205.2900,205.5000,204.4000,204.5000,169.3548,110145700
2015-03-12,205.2600,207.1800,205.2000,207.1000,171.5080,93993500
2015-03-13,206.7700,207.9300,204.5800,205.8300,170.4563,162410900
2015-03-16,206.7100,208.6900,205.8600,208.5800,172.7336,136099200
2015-03-17,207.6900,208.4200,206.9800,207.9600,172.2202,94510400
2015-03-18,207.3900,211.2700,206.6200,210.4600,174.2906,228808500
