date,open,high,low,close,adj_close,volume
2015-01-02,126.2900,127.6600,126.1500,127.3200,93.3673,9432000
2015-01-05,128.0100,129.6300,127.9600,129.3200,94.8340,9789500
2015-01-06,130.7000,132.4900,130.1900,131.6500,96.5426,18331300
2015-01-07,130.7000,131.9700,130.1700,131.3900,96.3520,9762900
2015-01-08,130.3600,130.3700,129.4200,129.6500,95.0760,8055300
2015-01-09,129.2000,131.1100,129.0400,131.0700,96.1173,9398800
2015-01-12,131.0000,132.3100,130.9200,131.8200,96.6673,6658100
2015-01-13,131.3900,132.6100,131.1400,131.8200,96.6673,8260800
2015-01-14,133.7200,134.1200,132.7000,132.8200,97.4006,12324500
2015-01-15,132.8500,135.0300,132.6800,134.9100,98.9332,11454200
2015-01-16,134.3300,134.6800,133.0300,133.1900,97.6719,9390500
2015-01-20,134.1300,135.1100,134.0700,134.9600,98.9699,7758700
2015-01-21,135.2000,135.5900,132.9600,133.4000,97.8259,9803900
2015-01-22,134.0000,134.1800,132.2800,132.9200,97.4739,10200000
2015-01-23,134.3000,135.1200,134.1500,134.7700,98.8306,7334600
2015-01-26,134.8400,135.1900,134.0500,134.3600,98.5300,5966500
2015-01-27,135.7300,136.1300,134.1500,134.5700,98.6840,8079600
2015-01-28,134.7500,137.4100,134.7000,136.7700,100.2973,12230300
2015-01-29,136.1200,136.6700,135.4600,135.8700,99.6372,8881400
2015-01-30,137.7100,138.5000,137.1800,138.2800,101.4046,14871200
2015-02-02,136.7000,137.9200,136.6600,137.4800,101.0217,13689900
2015-02-03,135.6500,135.7900,134.3700,134.5700,98.8835,14008700
2015-02-04,133.4900,134.9900,133.1200,134.8000,99.0525,11360400
2015-02-05,134.0000,134.2300,133.1100,133.3200,97.9649,8334600
2015-02-06,132.0500,132.3500,130.5900,130.9600,96.2308,13685600
2015-02-09,131.9700,131.9800,130.7500,130.7500,96.0764,8025500
2015-02-10,130.1400,130.4700,129.4400,129.7100,95.3123,8290700
2015-02-11,129.7000,130.2700,128.9600,129.9500,95.4886,6506400
2015-02-12,129.6600,130.5400,129.4500,129.5200,95.1726,12548300
2015-02-13,129.5100,129.5300,128.0900,128.1900,94.1954,8325200
2015-02-17,127.8000,127.9300,125.9200,126.2600,92.7772,14968800
2015-02-18,126.8200,127.7400,126.4700,127.0100,93.3283,14009200
2015-02-19,126.7800,127.4500,126.1700,126.1700,92.7110,8584800
2015-02-20,127.0500,128.0100,126.0000,126.5400,92.9829,12502500
2015-02-23,127.1900,128.1700,127.1600,127.9900,94.0484,7500500
2015-02-24,127.6500,129.7900,127.1800,129.6700,95.2829,11958300
2015-02-25,129.4600,130.3900,129.0800,130.2300,95.6944,8019800
2015-02-26,129.7000,130.3000,128.4000,128.4500,94.3864,11020500
2015-02-27,129.0200,129.6200,128.2700,129.5300,95.1800,9225100
2015-03-02,129.0000,129.0700,126.7700,126.8700,93.4071,11324000
2015-03-03,126.8900,127.3700,126.3800,126.4100,93.0684,8599000
